"year","Track URI","Track Name","Album Name","Artist Name(s)","Release Date","Duration (ms)","Popularity","Explicit","Added By","Added At","Genres","Record Label","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","Track Name Unique"
"2022","spotify:track:1YR7VB3xx85Iad2n3soyMb","Amsterdam","Amsterdam","Cristian D;$hirak;Brysa;Ashafar","2022-01-13",173534,55,TRUE,NA,1970-01-01,NA,"Maison $hirak",0.908,0.52,0,-7.688,0,0.0782,0.0457,0,0.109,0.81,134.046,4,"Amsterdam"
"2022","spotify:track:7KA4W4McWYRpgf0fWsJZWB","See You Again (feat. Kali Uchis)_2022","Flower Boy","Tyler, The Creator;Kali Uchis","2017-07-21",180386,89,TRUE,NA,1970-01-01,NA,"Columbia",0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,4,"See You Again (feat. Kali Uchis)_2022"
"2022","spotify:track:622sVNQCspoVUqFWzOYYcj","A Man Without Love_2022_1","Live In Concert / All of Me","Engelbert Humperdinck","1968",205640,52,FALSE,NA,1970-01-01,NA,"Epic/Legacy",0.386,0.473,2,-12.416,1,0.0345,0.729,0,0.271,0.498,110.322,4,"A Man Without Love_2022"
"2022","spotify:track:0HqZX76SFLDz2aW8aiqi7G","Bones","Bones","Imagine Dragons","2022-03-11",165264,76,FALSE,NA,1970-01-01,NA,"KIDinaKORNER/Interscope Records",0.773,0.742,5,-3.678,0,0.046,0.0206,0,0.0754,0.571,114.071,4,"Bones"
"2022","spotify:track:2IV6ArKIuTpNxqXCCHd0mG","Vluchtstrook","Vluchtstrook","Kris Kross Amsterdam;Antoon;Sigourney K","2021-11-26",148467,58,FALSE,NA,1970-01-01,"hollands,nederpop","KKA/Dreamteam/Cloud 9/Ownit",0.73,0.771,6,-6.973,0,0.0534,0.0321,0,0.127,0.689,159.979,4,"Vluchtstrook"
"2022","spotify:track:2beS6dD5rovBxSA1zYoSHR","No Me Conoce - Remix","Famouz","JHAYCO;J Balvin;Bad Bunny","2019-05-24",309120,85,FALSE,NA,1970-01-01,"reggaeton,trap latino,urbano latino,latin","N&E Entertainment LLC",0.804,0.787,10,-3.824,0,0.0746,0.14,0,0.0927,0.562,91.974,4,"No Me Conoce - Remix"
"2022","spotify:track:59NB4aFUAVG4lM6p7jsEas","Battlefield 3 Main Theme","Battlefield 3 (Original Soundtrack)","Johan Skugge;Jukka Rintamäki","2011",115986,45,FALSE,NA,1970-01-01,"soundtrack","EA Music",0.481,0.749,7,-12.657,1,0.0544,0.335,0.9,0.102,0.394,169.975,3,"Battlefield 3 Main Theme"
"2022","spotify:track:5VzNsUnLmYcRfRfxpQsusa","La Nota_2022","Dopamina","Manuel Turizo;Rauw Alejandro;Myke Towers","2021-04-09",216107,65,FALSE,NA,1970-01-01,"reggaeton,pop urbano,colombian pop,latin,trap latino,urbano latino","Sony Music Latin/La Industria",0.736,0.632,11,-4.939,0,0.0648,0.18,0,0.349,0.503,92.03,4,"La Nota_2022"
"2022","spotify:track:3USxtqRwSYz57Ewm6wWRMp","Heat Waves_2022","Dreamland","Glass Animals","2020-08-07",238805,87,FALSE,NA,1970-01-01,NA,"Polydor Records",0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4,"Heat Waves_2022"
"2022","spotify:track:1RijmOnza5p9CzaFKr8W1Y","Soy Peor - Remix","Soy Peor Remix","Bad Bunny;J Balvin;Ozuna;Arcángel","2017-06-22",315846,68,TRUE,NA,1970-01-01,"reggaeton,trap latino,latin,urbano latino","Rimas Entertainment LLC",0.823,0.457,0,-7.036,0,0.119,0.214,0,0.352,0.268,115.991,4,"Soy Peor - Remix"
